,cc_id,chart_id_cc,chart_id_matches_cc,title_cc,details_cc,source_raw_cc,nm_id,published_date_cc,raw_text_cc,title_ntm,references_ntm,referenced_nm_ids,details_ntm,charts_raw_ntm,chart_ids_ntm,publication_ntm,raw_text_ntm,source_pdf_ntm,Unnamed: 18,sufficient_context,Notes (from me),additional_source
0,00083-26,93,['93'],Denmark. The North Sea. Vorupør Læmole. Maintenance work. Light unlit.,"Insert the text ""(exting)"" nearby position 1).
1) 56° 57.747'N - 008° 21.642'E",NM-124-26,NM-124-26,3/6/26,"00083-26
Chart 93 2026-03-06
Denmark. The North Sea. Vorupør Læmole. Maintenance work. Light unlit.
Details:
Insert the text ""(exting)"" nearby position 1).
1) 56° 57.747'N - 008° 21.642'E
Source: NM-124-26
Published: 2026-03-06",Denmark. The North Sea. Vorupør Læmole. Maintenance work. Light to be unlit.,,[],"In the period beginning March - Mid-July 2026, maintenance work will be carried out on Vorupør Læmole.
The light in the mentioned position will be unlit and removed in the period.
56° 57.747'N - 008° 21.642'E, Fl.G 5s.","108 (INT 1448), 93 (INT 1044).","['108', '93']",(Per Aarsleff 11 February 2026. Published 18 February 2026),"NM-124-26
Denmark. The North Sea. Vorupør Læmole. Maintenance work. Light to be unlit.
Details
In the period beginning March - Mid-July 2026, maintenance work will be carried out on Vorupør Læmole.
The light in the mentioned position will be unlit and removed in the period.
56° 57.747'N - 008° 21.642'E, Fl.G 5s.
Charts
108 (INT 1448), 93 (INT 1044).
(Per Aarsleff 11 February 2026. Published 18 February 2026)",NtM-Week-8-2026.pdf,,1,“Exting” is an abbreviation for “extinguished”.he light has been turned off / is no longer in operation,
1,00082-26,145,['145'],Denmark. The Great Belt. Kalundborg Havn. Dokhavn. Construction works completed.,"Insert pipeline (INT 1 – L 40.1) between positions 1) and 2), 3) and 4), and 5) and 6).
1) 55° 40.063'N - 011° 06.144'E
2) 55° 40.067'N - 011° 06.131'E
3) 55° 40.060'N - 011° 06.142'E 
4) 55° 40.064'N - 011° 06.128'E
5) 55° 40.057'N - 011° 06.139'E
6) 55° 40.061'N - 011° 06.126'E","NM-1015-25 and Per Aarsleff A/S, 9. January 2026",NM-1015-25,3/6/26,"00082-26
Chart 145 2026-03-06
Denmark. The Great Belt. Kalundborg Havn. Dokhavn. Construction works completed.
Details:
Insert pipeline (INT 1 – L 40.1) between positions 1) and 2), 3) and 4), and 5) and 6).
1) 55° 40.063'N - 011° 06.144'E
2) 55° 40.067'N - 011° 06.131'E
3) 55° 40.060'N - 011° 06.142'E 
4) 55° 40.064'N - 011° 06.128'E
5) 55° 40.057'N - 011° 06.139'E
6) 55° 40.061'N - 011° 06.126'E
Source: NM-1015-25 and Per Aarsleff A/S, 9. January 2026
Published: 2026-03-06",Denmark. The Great Belt. Kalundborg Havn. Dokhavn. Construction works completed.,NM-918-25 - (cancelled).,['NM-918-25'],"55° 40.049'N - 011° 06.119'E, Dokhavn.","145 (INT 1371), 141 (INT 1370), 103 (INT 1303), 102 (INT 1302).","['145', '141', '103', '102']",(Per Aarsleff A/S 1 December 2025. Published 3 December 2025),"NM-1015-25
Denmark. The Great Belt. Kalundborg Havn. Dokhavn. Construction works completed.
References
NM-918-25 - (cancelled).
Details
55° 40.049'N - 011° 06.119'E, Dokhavn.
Charts
145 (INT 1371), 141 (INT 1370), 103 (INT 1303), 102 (INT 1302).
Publication
www.danskehavnelods.dk.
(Per Aarsleff A/S 1 December 2025. Published 3 December 2025)",NtM-Week-49-2025.pdf,,0,publication info can be potentially found in an archive on the website ,www.danskehavnelods.dk.
2,00080-26,158,['158'],Denmark. The Little Belt. Snævringen. Middelfart Gammel Havn. Port regulation.,"Delete Harbour limit (INT 1 – N 49) bounded by positions 1) to 3). 
1) 55° 30.3753'N - 009° 44.0587'E
2) 55° 30.5416'N - 009° 43.5579'E
3) 55° 30.5203'N - 009° 43.2549'E
Insert Harbour limit (INT 1 – N 49) bounded by positions 4) to 8). 
4) 55° 30.3772’N - 009° 43.9668’E
5) 55° 30.3932’N - 009° 43.9764’E
6) 55° 30.5109’N - 009° 43.5289’E
7) 55° 30.5231’N - 009° 43.3010’E
8) 55° 30.5106’N - 009° 43.2913’E",NM-122-26,NM-122-26,3/4/26,"00080-26
Chart 158 2026-03-04
Denmark. The Little Belt. Snævringen. Middelfart Gammel Havn. Port regulation.
Details:
Delete Harbour limit (INT 1 – N 49) bounded by positions 1) to 3). 
1) 55° 30.3753'N - 009° 44.0587'E
2) 55° 30.5416'N - 009° 43.5579'E
3) 55° 30.5203'N - 009° 43.2549'E
Insert Harbour limit (INT 1 – N 49) bounded by positions 4) to 8). 
4) 55° 30.3772’N - 009° 43.9668’E
5) 55° 30.3932’N - 009° 43.9764’E
6) 55° 30.5109’N - 009° 43.5289’E
7) 55° 30.5231’N - 009° 43.3010’E
8) 55° 30.5106’N - 009° 43.2913’E
Source: NM-122-26
Published: 2026-03-04",Denmark. The Little Belt. Snævringen. Middelfart Gammel Havn. Port regulation.,,[],"Danish Civil Aviation and Railway Authority has 18. February 2026, provided a new port regulation for the port in the mentioned position.
55° 30.483'N - 009° 43.503'E, Middelfart Gammel Havn.
The regulation enters into force 4 March 2026.
Note
Information regarding the content of the port regulation can be obtained at the port authority.","158 (INT 1376), 151 (INT 1375), 114 (INT 1377).","['158', '151', '114']",(TS 18 February 2026. Published 18 February 2026),"NM-122-26
Denmark. The Little Belt. Snævringen. Middelfart Gammel Havn. Port regulation.
Details
Danish Civil Aviation and Railway Authority has 18. February 2026, provided a new port regulation for the port in the mentioned position.
55° 30.483'N - 009° 43.503'E, Middelfart Gammel Havn.
The regulation enters into force 4 March 2026.
Note
Information regarding the content of the port regulation can be obtained at the port authority.
Charts
158 (INT 1376), 151 (INT 1375), 114 (INT 1377).
Publication
www.danskehavnelods.dk.
(TS 18 February 2026. Published 18 February 2026)",NtM-Week-8-2026.pdf,,0,publication info can be potentially found in an archive on the website ,www.danskehavnelods.dk.
3,00078-26,109,['109'],Denmark. The Liim Fiord. Thisted Bredning. Buoyed measuring equipment missing.,"Reference: 00145-25.
Delete the buoyage as specified at position 1).
Delete the text ""Rec. St."" nearby.
1) 56° 55.036'N - 008° 44.353'E, yellow spar buoy with cross topmark, Fl(5)Y.20s.",NM-137-26,NM-137-26,3/3/26,"00078-26
Chart 109 2026-03-03
Denmark. The Liim Fiord. Thisted Bredning. Buoyed measuring equipment missing.
Details:
Reference: 00145-25.
Delete the buoyage as specified at position 1).
Delete the text ""Rec. St."" nearby.
1) 56° 55.036'N - 008° 44.353'E, yellow spar buoy with cross topmark, Fl(5)Y.20s.
Source: NM-137-26
Published: 2026-03-03",Denmark. The Liim Fiord. Thisted Bredning. Buoyed measuring equipment missing.,NM-706-25.,['NM-706-25'],"56° 55.036'N - 008° 44.353'E, yellow spar buoy with cross topmark Fl(5)Y.20s.","109 (INT 1449), 108 (INT 1448).","['109', '108']",(Havsans 11 February 2026. Published 20 February 2026),"NM-137-26
Denmark. The Liim Fiord. Thisted Bredning. Buoyed measuring equipment missing.
References
NM-706-25.
Details
56° 55.036'N - 008° 44.353'E, yellow spar buoy with cross topmark Fl(5)Y.20s.
Charts
109 (INT 1449), 108 (INT 1448).
(Havsans 11 February 2026. Published 20 February 2026)",NtM-Week-9-2026.pdf,,1,Rec. St.” stands for “Recommended Track” or “Recommended Route / Track (Station),
4,00078-26,108,['108'],Denmark. The Liim Fiord. Thisted Bredning. Buoyed measuring equipment missing.,"Reference: 00145-25.
Delete the buoyage as specified at position 1).
Delete the text ""Rec. St."" nearby.
1) 56° 55.036'N - 008° 44.353'E, yellow spar buoy with cross topmark, Fl(5)Y.20s.",NM-137-26,NM-137-26,3/3/26,"00078-26
Chart 108 2026-03-03
Denmark. The Liim Fiord. Thisted Bredning. Buoyed measuring equipment missing.
Details:
Reference: 00145-25.
Delete the buoyage as specified at position 1).
Delete the text ""Rec. St."" nearby.
1) 56° 55.036'N - 008° 44.353'E, yellow spar buoy with cross topmark, Fl(5)Y.20s.
Source: NM-137-26
Published: 2026-03-03",Denmark. The Liim Fiord. Thisted Bredning. Buoyed measuring equipment missing.,NM-706-25.,['NM-706-25'],"56° 55.036'N - 008° 44.353'E, yellow spar buoy with cross topmark Fl(5)Y.20s.","109 (INT 1449), 108 (INT 1448).","['109', '108']",(Havsans 11 February 2026. Published 20 February 2026),"NM-137-26
Denmark. The Liim Fiord. Thisted Bredning. Buoyed measuring equipment missing.
References
NM-706-25.
Details
56° 55.036'N - 008° 44.353'E, yellow spar buoy with cross topmark Fl(5)Y.20s.
Charts
109 (INT 1449), 108 (INT 1448).
(Havsans 11 February 2026. Published 20 February 2026)",NtM-Week-9-2026.pdf,,1,,
5,00077-26,109,['109'],Denmark. The Liim Fiord. Risgårde Bredning. Buoyed measuring equipment missing.,"Reference: 00146-25.
Delete the buoyage as specified at position 1).
Delete the text ""Rec. St."" nearby.
1) 56° 44.845'N - 009° 09.943'E, yellow spar buoy with cross topmark, Fl(5)Y.20s.",NM-136-26,NM-136-26,3/3/26,"00077-26
Chart 109 2026-03-03
Denmark. The Liim Fiord. Risgårde Bredning. Buoyed measuring equipment missing.
Details:
Reference: 00146-25.
Delete the buoyage as specified at position 1).
Delete the text ""Rec. St."" nearby.
1) 56° 44.845'N - 009° 09.943'E, yellow spar buoy with cross topmark, Fl(5)Y.20s.
Source: NM-136-26
Published: 2026-03-03",Denmark. The Liim Fiord. Risgårde Bredning. Buoyed measuring equipment missing.,NM-695-25.,['NM-695-25'],"56° 44.845'N - 009° 09.943'E, yellow spar buoy with cross topmark Fl(5)Y.20s.",109 (INT 1449).,['109'],(Havsans 11 February 2026. Published 20 February 2026),"NM-136-26
Denmark. The Liim Fiord. Risgårde Bredning. Buoyed measuring equipment missing.
References
NM-695-25.
Details
56° 44.845'N - 009° 09.943'E, yellow spar buoy with cross topmark Fl(5)Y.20s.
Charts
109 (INT 1449).
(Havsans 11 February 2026. Published 20 February 2026)",NtM-Week-9-2026.pdf,,1,,
6,00076-26,152,['152'],Denmark. The Little Belt. Als NE. Fynshav. Cable Lights discontinued.,"
Delete cable landing beacons (INT 1 – Q 123) as specified at positions 1) and 2).
1) 54° 59.659'N - 009° 58.517'E, F.R & F(vert)
2) 54° 59.743'N - 009° 58.592'E, F.R",NM-143-26,NM-143-26,3/3/26,"00076-26
Chart 152 2026-03-03
Denmark. The Little Belt. Als NE. Fynshav. Cable Lights discontinued.
Details:
Delete cable landing beacons (INT 1 – Q 123) as specified at positions 1) and 2).
1) 54° 59.659'N - 009° 58.517'E, F.R & F(vert)
2) 54° 59.743'N - 009° 58.592'E, F.R
Source: NM-143-26
Published: 2026-03-03",Denmark. The Little Belt. Als NE. Fynshav. Cable Lights discontinued.,,[],"The cable lights and beacons in positions 1) and 2) has been discontinued and removed.
1) 54° 59.66'N - 009° 58.51'E Fynshav Cable Rear Light, F.R/F.W
2) 54° 59.74'N - 009° 58.59'E Fynshav Cable Front Light, F.R","152 (INT 1373), 151 (INT 1375).","['152', '151', '1']",(Energinet 16 February 2026. Published 24 February 2026),"NM-143-26
Denmark. The Little Belt. Als NE. Fynshav. Cable Lights discontinued.
Details
The cable lights and beacons in positions 1) and 2) has been discontinued and removed.
1) 54° 59.66'N - 009° 58.51'E Fynshav Cable Rear Light, F.R/F.W
2) 54° 59.74'N - 009° 58.59'E Fynshav Cable Front Light, F.R
Charts
152 (INT 1373), 151 (INT 1375).
Publication
Danish List of Lights (Dansk Fyrliste) no 4444a (C1037.1), 4444b (C1037).
(Energinet 16 February 2026. Published 24 February 2026)",NtM-Week-9-2026.pdf,,1,,"Danish List of Lights (Dansk Fyrliste) no 4444a (C1037.1), 4444b (C1037)."
7,00076-26,151,['151'],Denmark. The Little Belt. Als NE. Fynshav. Cable Lights discontinued.,"Delete cable landing beacons (INT 1 – Q 123) as specified at positions 1) and 2).
1) 54° 59.659'N - 009° 58.517'E, F.R & F(vert)
2) 54° 59.743'N - 009° 58.592'E, F.R",NM-143-26,NM-143-26,3/3/26,"00076-26
Chart 151 2026-03-03
Denmark. The Little Belt. Als NE. Fynshav. Cable Lights discontinued.
Details:
Delete cable landing beacons (INT 1 – Q 123) as specified at positions 1) and 2).
1) 54° 59.659'N - 009° 58.517'E, F.R & F(vert)
2) 54° 59.743'N - 009° 58.592'E, F.R
Source: NM-143-26
Published: 2026-03-03",Denmark. The Little Belt. Als NE. Fynshav. Cable Lights discontinued.,,[],"The cable lights and beacons in positions 1) and 2) has been discontinued and removed.
1) 54° 59.66'N - 009° 58.51'E Fynshav Cable Rear Light, F.R/F.W
2) 54° 59.74'N - 009° 58.59'E Fynshav Cable Front Light, F.R","152 (INT 1373), 151 (INT 1375).","['152', '151', '1']",(Energinet 16 February 2026. Published 24 February 2026),"NM-143-26
Denmark. The Little Belt. Als NE. Fynshav. Cable Lights discontinued.
Details
The cable lights and beacons in positions 1) and 2) has been discontinued and removed.
1) 54° 59.66'N - 009° 58.51'E Fynshav Cable Rear Light, F.R/F.W
2) 54° 59.74'N - 009° 58.59'E Fynshav Cable Front Light, F.R
Charts
152 (INT 1373), 151 (INT 1375).
Publication
Danish List of Lights (Dansk Fyrliste) no 4444a (C1037.1), 4444b (C1037).
(Energinet 16 February 2026. Published 24 February 2026)",NtM-Week-9-2026.pdf,,1,,"Danish List of Lights (Dansk Fyrliste) no 4444a (C1037.1), 4444b (C1037)."
8,00075-26,152,['152'],Denmark. Waters South of Funen. Horne Næs. Cable Lights discontinued.,"Delete cable landing beacons (INT 1 – Q 123) as specified at positions 1) and 2).
1) 55° 04.649'N - 010° 04.893'E, F.R & F(vert)
2) 55° 04.569'N - 010° 04.797'E, F.R",NM-142-26,NM-142-26,3/3/26,"00075-26
Chart 152 2026-03-03
Denmark. Waters South of Funen. Horne Næs. Cable Lights discontinued.
Details:
Delete cable landing beacons (INT 1 – Q 123) as specified at positions 1) and 2).
1) 55° 04.649'N - 010° 04.893'E, F.R & F(vert)
2) 55° 04.569'N - 010° 04.797'E, F.R
Source: NM-142-26
Published: 2026-03-03",Denmark. Waters South of Funen. Horne Næs. Cable Lights discontinued.,NM-027-26 - (cancelled).,['NM-027-26'],"The cable lights and beacons in positions 1) and 2) has been discontinued and removed.
1) 55° 04.65'N - 010° 04.89'E Horne Næs Cable Rear Light, F.R/F.W
2) 55° 04.57'N - 010° 04.79'E Horne Næs Cable Front Light, F.R","152 (INT 1373), 151 (INT 1375), 103 (INT 1303).","['152', '151', '103', '81', '8']",(Energinet 16 February 2026. Published 24 February 2026),"NM-142-26
Denmark. Waters South of Funen. Horne Næs. Cable Lights discontinued.
References
NM-027-26 - (cancelled).
Details
The cable lights and beacons in positions 1) and 2) has been discontinued and removed.
1) 55° 04.65'N - 010° 04.89'E Horne Næs Cable Rear Light, F.R/F.W
2) 55° 04.57'N - 010° 04.79'E Horne Næs Cable Front Light, F.R
Charts
152 (INT 1373), 151 (INT 1375), 103 (INT 1303).
Publication
Danish List of Lights (Dansk Fyrliste) no 4392a (C0989.81), 4392b (C0989.8).
(Energinet 16 February 2026. Published 24 February 2026)",NtM-Week-9-2026.pdf,,1,,"Danish List of Lights (Dansk Fyrliste) no 4392a (C0989.81), 4392b (C0989.8)."
9,00075-26,151,['151'],Denmark. Waters South of Funen. Horne Næs. Cable Lights discontinued.,"Delete cable landing beacons (INT 1 – Q 123) as specified at positions 1) and 2).
1) 55° 04.649'N - 010° 04.893'E, F.R & F(vert)
2) 55° 04.569'N - 010° 04.797'E, F.R",NM-142-26,NM-142-26,3/3/26,"00075-26
Chart 151 2026-03-03
Denmark. Waters South of Funen. Horne Næs. Cable Lights discontinued.
Details:
Delete cable landing beacons (INT 1 – Q 123) as specified at positions 1) and 2).
1) 55° 04.649'N - 010° 04.893'E, F.R & F(vert)
2) 55° 04.569'N - 010° 04.797'E, F.R
Source: NM-142-26
Published: 2026-03-03",Denmark. Waters South of Funen. Horne Næs. Cable Lights discontinued.,NM-027-26 - (cancelled).,['NM-027-26'],"The cable lights and beacons in positions 1) and 2) has been discontinued and removed.
1) 55° 04.65'N - 010° 04.89'E Horne Næs Cable Rear Light, F.R/F.W
2) 55° 04.57'N - 010° 04.79'E Horne Næs Cable Front Light, F.R","152 (INT 1373), 151 (INT 1375), 103 (INT 1303).","['152', '151', '103', '81', '8']",(Energinet 16 February 2026. Published 24 February 2026),"NM-142-26
Denmark. Waters South of Funen. Horne Næs. Cable Lights discontinued.
References
NM-027-26 - (cancelled).
Details
The cable lights and beacons in positions 1) and 2) has been discontinued and removed.
1) 55° 04.65'N - 010° 04.89'E Horne Næs Cable Rear Light, F.R/F.W
2) 55° 04.57'N - 010° 04.79'E Horne Næs Cable Front Light, F.R
Charts
152 (INT 1373), 151 (INT 1375), 103 (INT 1303).
Publication
Danish List of Lights (Dansk Fyrliste) no 4392a (C0989.81), 4392b (C0989.8).
(Energinet 16 February 2026. Published 24 February 2026)",NtM-Week-9-2026.pdf,,0,,"Danish List of Lights (Dansk Fyrliste) no 4392a (C0989.81), 4392b (C0989.8)."
